row ID,Peak m/z,Peak RT,Peak Height
102,193.989296,0.036803164,5173429.5
103,193.9892731,0.054094881,4835167.5
104,193.9892502,0.12326368,4956351
105,193.9892426,0.14055536,5040805.5
106,193.9893265,0.18378663,5228492
107,193.9892426,0.23566371,5444326
108,193.9892578,0.32212221,5305457
109,193.9892426,0.339416,5269987
110,193.9892731,0.39129313,5126418.5
111,193.9892578,0.4172307,5035256.5
112,193.9892578,0.49504537,4977689
113,193.9892654,0.56421211,5047486
114,193.9892654,0.61608718,5111351.5
115,193.9892654,0.65931848,4941557.5
116,193.9892502,0.68525601,5099933.5
117,193.9892426,0.7198394,5057600
118,193.9892883,0.8841167,5056125.5
119,193.9891968,0.96192928,4981089
120,193.9892349,1.0483877,5643693.5
121,193.9892578,1.0743273,5098069.5
122,193.9892197,1.152142,5156170
123,193.9892502,1.2386025,4899634
11,84.08084869,1.2558942,1.17E+07
124,193.9892349,1.273188,4843024.5
12,84.08085251,1.2818318,1.15E+07
125,193.9892654,1.3250631,4929612.5
126,193.9892426,1.385584,4907928
127,193.9893036,1.497982,4889148
128,193.9892273,1.5671509,5191987.5
129,193.9892502,1.6190259,5062406
130,193.989212,1.6363197,4941180
131,193.9892578,1.7227782,4881983
132,193.9892273,1.8005929,5017112.5
133,193.9892502,1.8351762,4806892
134,193.9892578,1.8957013,4941835
13,84.08084869,1.9129908,1.05E+07
14,84.08085632,1.973516,1.10E+07
135,193.9892502,2.0340369,5162604.5
136,193.9892807,2.2761247,4941117
15,84.08084869,2.4663395,1.04E+07
16,84.08084106,2.4836291,1.07E+07
17,84.08083344,2.7084252,1.06E+07
18,84.08087158,2.8208254,1.11E+07
19,84.08084869,3.5470909,1.05E+07
20,84.08086777,3.6508431,1.11E+07
21,84.08086395,3.6854286,1.15E+07
22,84.08084106,3.8151204,1.08E+07
23,84.08084869,3.9361622,1.08E+07
24,84.08085632,4.4376337,1.19E+07
25,84.08085632,4.532738,1.10E+07
26,84.08085251,4.9045197,1.11E+07
27,84.08081055,5.0255615,1.07E+07
28,84.08081818,5.0687928,1.07E+07
29,84.08082962,5.1206679,1.08E+07
30,84.08084106,5.1552533,1.09E+07
31,84.08082962,5.1898388,1.11E+07
32,84.08081436,5.22442,1.12E+07
33,84.08082581,5.5961997,1.07E+07
34,84.08081818,9.2880565,1.07E+07
35,84.08084869,9.5560818,1.12E+07
36,84.08086395,9.5820193,1.09E+07
37,84.08084869,9.6857715,1.13E+07
38,84.08083725,9.8673384,1.09E+07
39,84.08086395,9.9278594,1.09E+07
986,407.1366272,11.216119,3.29E+07
810,340.222168,11.27664,2.17E+08
816,340.7238312,11.27664,8.31E+07
1210,679.4372559,11.27664,2.23E+08
1213,680.4407349,11.27664,7.96E+07
1,83.06037903,11.285288,3.81E+07
1004,417.1642303,11.319872,2.35E+07
1001,415.168457,11.328517,5.46E+08
1002,416.1717682,11.328517,1.31E+08
2,83.06039429,11.337165,3.63E+07
3,83.06037521,11.691649,3.52E+07
1214,716.4577637,11.691649,2.43E+08
1215,717.4611206,11.691649,9.96E+07
629,310.1983337,11.743526,7698444
1085,476.3005066,11.743526,4.00E+07
1086,477.3038635,11.743526,1.12E+07
4,83.06035233,11.786755,3.27E+07
817,340.7607269,11.795401,1.96E+07
1211,679.5110168,11.795401,9628034
5,83.0603447,11.804049,3.41E+07
811,340.2590942,11.804049,4.90E+07
1058,455.2901306,11.804049,1.28E+09
1061,456.2934265,11.804049,3.74E+08
1067,457.2968903,11.804049,4.89E+07
812,340.2590942,11.821341,5.39E+07
818,340.7606964,11.821341,2.16E+07
1212,679.5111084,11.821341,1.03E+07
6,83.06033325,11.829989,3.49E+07
834,344.0956116,11.829989,1.82E+07
770,332.2112122,11.838633,1.44E+07
7,83.0603447,11.86457,3.49E+07
1111,502.2949982,11.86457,7.94E+08
1112,503.2983093,11.86457,2.84E+08
1113,504.3016357,11.86457,4.68E+07
1049,448.1550446,11.873216,1.21E+08
1053,449.1583862,11.873216,3.04E+07
1054,450.1520844,11.873216,7.86E+07
1055,451.1553955,11.873216,2.07E+07
8,83.06036377,11.881864,3.84E+07
844,354.2243958,11.881864,1.75E+07
1216,748.4837036,11.951031,1.08E+08
1217,749.4869995,11.951031,4.63E+07
904,376.2375641,11.959679,1.21E+07
966,398.2507477,12.011556,8342750.5
1013,419.2692261,12.037493,1.62E+08
1014,419.7709351,12.037493,7.64E+07
1218,837.5315247,12.037493,8.64E+07
1170,589.3790894,12.115308,6413297.5
9,83.06033707,12.132598,3.39E+07
611,307.0841064,12.132598,1.10E+08
396,264.2319641,12.141245,1.46E+07
425,275.0386047,12.141245,3.35E+07
438,277.035675,12.141245,2.07E+07
598,306.0807953,12.141245,6.36E+08
616,308.0778198,12.141245,4.10E+08
620,309.0811157,12.141245,7.77E+07
626,310.0748291,12.141245,6.50E+07
633,311.0781555,12.141245,1.23E+07
10,83.0603714,12.158535,3.68E+07
671,317.2061157,12.158535,7542968.5
1171,589.3792419,12.158535,5751764.5
672,317.2061768,12.175827,7881128.5
806,339.2192383,12.193121,9322660
469,282.2788849,12.21906,1.28E+09
470,283.2822571,12.21906,2.44E+08
475,284.2855225,12.21906,2.23E+07
511,292.2631836,12.21906,4.62E+07
807,339.2192078,12.21906,1.01E+07
808,339.2192383,12.253641,1.04E+07
867,361.2322388,12.253641,1.01E+07
905,376.2375641,12.262287,1.13E+07
868,361.2323151,12.279581,1.16E+07
906,376.2376404,12.279581,1.04E+07
869,361.2322998,12.296873,1.13E+07
967,398.2506561,12.322812,8181640.5
934,383.2453918,12.340102,1.08E+07
422,274.2527161,12.374687,1.73E+09
429,275.256012,12.374687,3.52E+08
435,276.2593384,12.374687,3.66E+07
423,274.2526093,12.391979,1.65E+09
430,275.256012,12.391979,3.36E+08
665,316.2478638,12.400625,6.86E+07
489,288.2682495,12.417917,1.58E+07
563,300.2803955,12.426565,1.73E+07
547,298.2738342,12.443854,1.08E+09
555,299.2770996,12.443854,2.13E+08
564,300.280426,12.443854,1.98E+07
863,360.2740021,12.443854,2.92E+07
595,305.26651,12.513023,4.07E+08
591,304.2632141,12.521669,1.87E+09
606,306.2697144,12.521669,4.15E+07
424,274.2738037,12.737821,2.42E+07
191,201.0462952,12.78105,1.41E+07
949,389.1624146,12.78105,3.49E+08
956,391.1594543,12.78105,1.11E+08
957,392.1626892,12.78105,2.62E+07
955,390.1657104,12.789696,7.88E+07
490,288.289505,13.04043,9.33E+08
495,289.2928467,13.04043,1.75E+08
329,244.2634277,13.075015,8.91E+07
476,284.2946777,13.135536,4.01E+07
477,284.2944794,13.161476,3.76E+07
323,242.2840042,13.204707,2.65E+09
324,242.2840881,13.221997,2.77E+09
326,243.2874908,13.221997,4.73E+08
330,244.2907715,13.221997,3.88E+07
478,284.2945557,13.230645,4.35E+07
482,285.2979431,13.239289,8645404
368,256.2997131,13.247934,2.64E+07
479,284.2946167,13.247934,4.18E+07
842,353.2584839,13.291166,3.24E+08
845,354.2618103,13.291166,8.28E+07
850,355.2651062,13.291166,9646211
487,286.2738647,13.299812,2.85E+07
259,228.2434082,13.412212,7.52E+07
488,286.2738953,13.490026,2.91E+07
1043,443.2328491,13.49867,1.32E+08
1044,444.2361755,13.49867,4.09E+07
995,414.9931946,13.524608,3.61E+07
1003,416.9902039,13.524608,4.70E+07
1012,418.9872742,13.524608,2.24E+07
686,320.1078186,13.576485,1.31E+07
548,298.3103027,13.593779,5.61E+07
556,299.3136597,13.593779,1.19E+07
549,298.3102722,13.611068,5.65E+07
557,299.3136292,13.611068,1.13E+07
687,320.1078339,13.619716,1.43E+07
866,361.2007141,13.766698,1.56E+07
855,359.1851196,13.827221,1.25E+07
856,359.1851196,13.861804,1.27E+07
857,359.1850586,13.879098,1.12E+07
666,316.320816,14.026077,4.84E+07
932,383.151886,14.190354,1.86E+08
935,384.1551819,14.190354,4.45E+07
942,385.1489258,14.190354,5.94E+07
944,386.1522217,14.190354,1.49E+07
933,383.1518555,14.207644,2.09E+08
936,384.1551819,14.207644,5.04E+07
943,385.1488953,14.216292,6.74E+07
945,386.1522217,14.216292,1.47E+07
333,245.1939697,14.588069,1.47E+07
327,244.1906433,14.596715,1.03E+08
246,226.1800919,14.605363,1.52E+07
328,244.1906433,14.631301,8.82E+07
788,336.1026764,14.933912,2.73E+07
298,238.1055374,14.959849,8488868
289,237.1021881,14.968497,5.26E+07
789,336.1027222,14.968497,3.18E+07
299,238.1055832,14.985787,8885556
290,237.1022491,15.003078,5.43E+07
300,238.1055908,15.003078,8525002
790,336.1027527,15.003078,2.77E+07
291,237.1021881,15.029018,4.68E+07
1059,455.3213196,15.080893,9147454
848,355.0560913,15.098187,6.79E+07
851,356.0593872,15.098187,7503351
1060,455.3213348,15.098187,1.05E+07
853,357.0518341,15.124124,9504223
987,411.2950439,15.124124,1.70E+07
1029,433.2770691,15.13277,8217050
852,356.0594177,15.141416,6965098
849,355.0560913,15.158708,6.11E+07
988,411.295105,15.158708,1.78E+07
878,367.2688599,15.176001,2.44E+07
937,384.2953796,15.176001,7003757.5
950,389.2507324,15.176001,1.20E+07
989,411.2951202,15.193291,1.55E+07
938,384.2954407,15.201939,7615890
951,389.2507935,15.201939,1.34E+07
993,414.1076813,15.201939,5.07E+07
999,415.1109924,15.201939,8066651
828,342.173172,15.210583,1.37E+07
831,343.2953186,15.210583,1.99E+07
879,367.2688751,15.210583,2.74E+07
829,342.1731415,15.236522,1.42E+07
952,389.2507019,15.236522,1.17E+07
994,414.1075897,15.236522,4.83E+07
