InChIKey,Height,Area,RT,Actual RT,RT Delta,m/z (Expected),m/z (Apex),m/z (Delta) (ppm),"Integration Mode (Manual 0, Method 1)","PK (Fail 0, Pass 1)","Confirm (Confirmed 1, Not Found 0)"
DSSYKIVIOFKYAU-XCBNKYQSSA-N,0,0,17.69,0,0,153.13,0,0,0,0,0
UWKAYLJWKGQEPM-UHFFFAOYSA-N,0,0,15.12,0,0,197.15,0,0,0,0,0
BGTBFNDXYDYBEY-FNORWQNLSA-N,250197,4241822,16.6,16.7,0.10,193.16,193.16,1.19,1,1,1
BGTBFNDXYDYBEY-ALCCZGGFSA-N,250197,4241822,16.6,16.7,0.10,193.16,193.16,1.19,1,1,1
VOXZDWNPVJITMN-ZBRFXRBCSA-N,0,0,16.5,0,0,273.18,0,0,0,0,0
DBPWSSGDRRHUNT-CEGNMAFCSA-N,74093,452702,17.57,17.5,-0.07,331.23,331.23,0.66,0,1,1
QRUDEWIWKLJBPS-UHFFFAOYSA-N,0,0,11.89,0,0,120.06,0,0,1,0,0
XFNJVKMNNVCYEK-UHFFFAOYSA-N,0,0,14.13,0,0,186.09,0,0,1,0,0
YIVXMZJTEQBPQO-UHFFFAOYSA-N,0,0,17.52,0,0,249.01,0,0,1,0,0
YIVXMZJTEQBPQO-UHFFFAOYSA-N,0,0,17.52,0,0,249.01,0,0,1,0,0
JHSPCUHPSIUQRB-UHFFFAOYSA-N,0,0,18.66,0,0,189.98,0,0,1,0,0
JTSKVVDMNKQPAO-UHFFFAOYSA-N,0,0,16.38,0,0,234.99,0,0,1,0,0
FNORUNUDZNWQFF-UHFFFAOYSA-N,0,0,16.89,0,0,168.07,0,0,1,0,0
FMRHJJZUHUTGKE-UHFFFAOYSA-N,0,0,20.5,0,0,251.16,0,0,0,0,0
YBGZDTIWKVFICR-JLHYYAGUSA-N,0,0,19.6,0,0,291.2,0,0,0,0,0
LLEMOWNGBBNAJR-UHFFFAOYSA-N,5891,9357,18.65,18.82,0.17,171.08,171.08,0.38,1,1,1
AUQAUAIUNJIIEP-UHFFFAOYSA-N,176562,2197955,17.13,16.94,-0.19,194.12,194.12,1.38,1,1,1
OIQXFRANQVWXJF-ACCUITESSA-N,0,0,21.11,0,0,241.16,0,0,0,0,0
UBXYXCRCOKCZIT-UHFFFAOYSA-N,5891,9357,18.65,18.82,0.17,171.08,171.08,0.38,1,1,1
